dataset,dataset_label,model,F1_mean,F1_std,Recall_mean,Recall_std,Business Cost_mean,Business Cost_std
australian,Australian Full,Baseline QSVC,0.8078824468817816,0.020226090824649944,0.8077922077922078,0.03603749850782234,88.8,11.819475453673906
australian,Australian Full,Classical SVC on PCA features,0.8442168072436645,0.0195655810742693,0.8623376623376624,0.0570542406142565,66.8,19.227584351654787
australian,Australian Full,Convex,0.8252531724003374,0.02467230646882258,0.8571428571428573,0.06428243465332248,71.8,22.331591971912793
australian,Australian Full,Feature-specific,0.7986899296425694,0.01681142454930041,0.7948051948051947,0.03830618494481199,94.0,13.171939872319491
australian,Australian Full,Logistic Regression,0.8417022071204426,0.0277490874183292,0.8415584415584416,0.0645442786482554,73.0,22.869193252058544
australian,Australian Full,RBF-SVM,0.8442168072436645,0.0195655810742693,0.8623376623376624,0.0570542406142565,66.8,19.227584351654787
australian,Australian Full,Random Forest,0.8400144119892679,0.029664111082314,0.851948051948052,0.0726576661335031,70.4,25.36335939894398
australian,Australian Full,XGBoost,0.8352880567252307,0.039010351429637,0.8363636363636363,0.0743782912377992,75.6,27.171676429694212
fico_heloc,FICO HELOC Full,Baseline QSVC,0.7349003208211092,0.013104010771911796,0.7421245421245422,0.030527625042362862,1710.4,146.0729269919652
fico_heloc,FICO HELOC Full,Classical SVC on PCA features,0.7279578380455101,0.010328108607683,0.723992673992674,0.0312001054139594,1795.8,141.7980958969478
fico_heloc,FICO HELOC Full,Convex,0.728476004816865,0.011516090739299942,0.7254578754578755,0.0327206400865456,1789.0,148.93958506723456
fico_heloc,FICO HELOC Full,Feature-specific,0.7341450834840229,0.012494414460537787,0.73992673992674,0.028806152857190157,1720.6,138.1024981671222
fico_heloc,FICO HELOC Full,Logistic Regression,0.7168820970547394,0.0038346510820963,0.6884615384615385,0.0063246507874842,1954.6,31.690692639953458
fico_heloc,FICO HELOC Full,RBF-SVM,0.7279578380455101,0.010328108607683,0.723992673992674,0.0312001054139594,1795.8,141.7980958969478
fico_heloc,FICO HELOC Full,Random Forest,0.7364453216695147,0.0072249466402383,0.7710622710622711,0.0109890109890109,1602.6,60.62012867026925
fico_heloc,FICO HELOC Full,XGBoost,0.7356412637820393,0.0072465002582089,0.7516483516483516,0.0131339242595657,1674.6,68.59883380932945
german_numeric,German Numeric Full,Baseline QSVC,0.4530011305442939,0.1355407613414084,0.5133333333333334,0.23990738953928778,184.8,56.76002114164511
german_numeric,German Numeric Full,Classical SVC on PCA features,0.5897853750752609,0.0247217333305521,0.72,0.0273861278752582,127.4,9.396807968666806
german_numeric,German Numeric Full,Convex,0.5227587118763589,0.0472792834917368,0.6733333333333333,0.16691647944739044,150.6,32.76888768328886
german_numeric,German Numeric Full,Feature-specific,0.5303073786469817,0.02193309399350167,0.6933333333333334,0.13824294235551812,147.0,22.39419567655869
german_numeric,German Numeric Full,Logistic Regression,0.5949323036708007,0.0486034595668112,0.7100000000000001,0.0450308536203543,127.8,18.86001060445089
german_numeric,German Numeric Full,RBF-SVM,0.5897853750752609,0.0247217333305521,0.72,0.0273861278752582,127.4,9.396807968666806
german_numeric,German Numeric Full,Random Forest,0.4531503177721468,0.0272149412339226,0.37,0.0247206616236522,204.8,7.949842765740716
german_numeric,German Numeric Full,XGBoost,0.5827536512729251,0.03089702480176,0.6599999999999999,0.0345607355888795,138.4,11.802542099056456
give_me_some_credit,"Give Me Some Credit 10,000 Subset",Baseline QSVC,0.3081812793001494,0.014787652262879206,0.6716417910447762,0.039839844223997424,580.6,26.651453994106966
