dataset,dataset_label,cost_ratio,experiment,model,cost_mean,cost_std,relative_cost_reduction_pct_mean,relative_cost_reduction_pct_std
german_numeric,German Numeric Full,2FN+FP,baseline,Baseline QSVC,97.2,16.23884232326923,0.0,0.0
german_numeric,German Numeric Full,2FN+FP,convex,Convex,91.8,6.300793600809345,4.026154307257899,11.975316804417712
german_numeric,German Numeric Full,2FN+FP,feature_specific,Feature-specific,91.8,6.833739825307955,3.1029121768634864,19.534018234347343
south_german,South German Full,2FN+FP,baseline,Baseline QSVC,89.4,13.390294993016397,0.0,0.0
south_german,South German Full,2FN+FP,convex,Convex,86.8,10.779610382569492,2.4921988566937823,4.9441471627931355
south_german,South German Full,2FN+FP,feature_specific,Feature-specific,87.2,14.060583202698243,2.5592094433873713,3.4504127179347166
australian,Australian Full,2FN+FP,baseline,Baseline QSVC,44.4,4.505552130427524,0.0,0.0
australian,Australian Full,2FN+FP,convex,Convex,38.8,7.596051605933177,11.972841112375995,19.533376704629276
australian,Australian Full,2FN+FP,feature_specific,Feature-specific,46.6,4.560701700396551,-5.248902260530167,9.054623749277619
fico_heloc,FICO HELOC Full,2FN+FP,baseline,Baseline QSVC,865.6,47.41624194303045,0.0,0.0
fico_heloc,FICO HELOC Full,2FN+FP,convex,Convex,889.6,42.7235298167181,-2.911206936307864,5.475901678511917
fico_heloc,FICO HELOC Full,2FN+FP,feature_specific,Feature-specific,868.6,45.014442126944104,-0.35994162489125603,0.45466892303125755
german_numeric,German Numeric Full,5FN+FP,baseline,Baseline QSVC,184.8,56.76002114164511,0.0,0.0
german_numeric,German Numeric Full,5FN+FP,convex,Convex,150.6,32.76888768328886,13.78480739596699,23.413106780102495
german_numeric,German Numeric Full,5FN+FP,feature_specific,Feature-specific,147.0,22.39419567655869,16.544126099223146,18.99336467977666
south_german,South German Full,5FN+FP,baseline,Baseline QSVC,165.0,30.306764921383476,0.0,0.0
south_german,South German Full,5FN+FP,convex,Convex,144.4,28.588459209967926,11.601126301443532,13.931820668443015
south_german,South German Full,5FN+FP,feature_specific,Feature-specific,152.6,30.770115371899404,7.552220464430491,7.242405294163872
australian,Australian Full,5FN+FP,baseline,Baseline QSVC,88.8,11.819475453673906,0.0,0.0
australian,Australian Full,5FN+FP,convex,Convex,71.8,22.331591971912793,19.01400818463644,25.873232598627627
australian,Australian Full,5FN+FP,feature_specific,Feature-specific,94.0,13.171939872319491,-6.93819551778788,18.09888864925616
fico_heloc,FICO HELOC Full,5FN+FP,baseline,Baseline QSVC,1710.4,146.0729269919652,0.0,0.0
fico_heloc,FICO HELOC Full,5FN+FP,convex,Convex,1789.0,148.93958506723456,-4.877710413942319,8.780136507428095
fico_heloc,FICO HELOC Full,5FN+FP,feature_specific,Feature-specific,1720.6,138.1024981671222,-0.6322295897825281,0.8420434538837066
german_numeric,German Numeric Full,10FN+FP,baseline,Baseline QSVC,330.8,128.2173935158565,0.0,0.0
german_numeric,German Numeric Full,10FN+FP,convex,Convex,248.6,82.51848277810251,18.129110969934715,28.13459133165261
german_numeric,German Numeric Full,10FN+FP,feature_specific,Feature-specific,239.0,63.33640343435993,23.908014488040603,18.139543675009005
south_german,South German Full,10FN+FP,baseline,Baseline QSVC,291.0,60.153969112603036,0.0,0.0
south_german,South German Full,10FN+FP,convex,Convex,240.4,65.22116220982267,16.30274801780645,18.7316446539944
south_german,South German Full,10FN+FP,feature_specific,Feature-specific,261.6,61.50853599298231,10.164654495798489,9.507334544399402
australian,Australian Full,10FN+FP,baseline,Baseline QSVC,162.8,25.430296891699868,0.0,0.0
australian,Australian Full,10FN+FP,convex,Convex,126.8,47.049973432511095,22.23217898116635,29.723847684618686
australian,Australian Full,10FN+FP,feature_specific,Feature-specific,173.0,27.85677655436824,-8.009830938462823,22.280591220105386
fico_heloc,FICO HELOC Full,10FN+FP,baseline,Baseline QSVC,3118.4,312.4168689427637,0.0,0.0
fico_heloc,FICO HELOC Full,10FN+FP,convex,Convex,3288.0,327.3843307184997,-5.806272381539858,10.363317103828813
fico_heloc,FICO HELOC Full,10FN+FP,feature_specific,Feature-specific,3140.6,295.06321356617804,-0.762810335500032,1.039690544749674
