dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
german_numeric,German Numeric Full,10,convex,Convex,all,validation_f1,0.65,0.5,zz,1,full,0.5565217391304348,0.6770833333333333,115.0,16.0,35.0,1.168,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.69,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.5441176470588235,0.6690476190476191,0.7267857142857143,0.5348607629130299,101,39,23,37,154.0
german_numeric,German Numeric Full,10,convex,Convex,all,validation_business_cost,1.0,0.5,zz,1,full,0.5546218487394958,0.6741071428571428,113.0,15.0,38.0,1.146,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.695,0.4935064935064935,0.6333333333333333,0.7214285714285714,0.5547445255474452,0.6773809523809524,0.7317857142857143,0.5378025935764779,101,39,22,38,149.0
german_numeric,German Numeric Full,10,convex,Convex,all,validation_balanced_accuracy,0.65,0.5,zz,1,full,0.5565217391304348,0.6770833333333333,115.0,16.0,35.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.69,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.5441176470588235,0.6690476190476191,0.7267857142857143,0.5348607629130299,101,39,23,37,154.0
german_numeric,German Numeric Full,10,convex,Convex,nonzero,validation_f1,0.65,0.5,zz,1,full,0.5565217391304348,0.6770833333333333,115.0,16.0,35.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.69,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.5441176470588235,0.6690476190476191,0.7267857142857143,0.5348607629130299,101,39,23,37,154.0
german_numeric,German Numeric Full,10,convex,Convex,nonzero,validation_business_cost,1.0,0.5,zz,1,full,0.5546218487394958,0.6741071428571428,113.0,15.0,38.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.695,0.4935064935064935,0.6333333333333333,0.7214285714285714,0.5547445255474452,0.6773809523809524,0.7317857142857143,0.5378025935764779,101,39,22,38,149.0
german_numeric,German Numeric Full,10,convex,Convex,nonzero,validation_balanced_accuracy,0.65,0.5,zz,1,full,0.5565217391304348,0.6770833333333333,115.0,16.0,35.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed10.csv,0.69,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.5441176470588235,0.6690476190476191,0.7267857142857143,0.5348607629130299,101,39,23,37,154.0
german_numeric,German Numeric Full,10,feature_specific,Feature-specific,all,validation_f1,0.8,0.3,zz,1,full,0.5633802816901409,0.6755952380952381,94.0,8.0,54.0,1.059,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed10.csv,0.66,0.45555555555555555,0.6833333333333333,0.65,0.5466666666666666,0.6666666666666667,0.7288095238095238,0.5274609481861517,91,49,19,41,144.0
german_numeric,German Numeric Full,10,feature_specific,Feature-specific,all,validation_business_cost,0.8,0.3,zz,1,full,0.5633802816901409,0.6755952380952381,94.0,8.0,54.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed10.csv,0.66,0.45555555555555555,0.6833333333333333,0.65,0.5466666666666666,0.6666666666666667,0.7288095238095238,0.5274609481861517,91,49,19,41,144.0
german_numeric,German Numeric Full,10,feature_specific,Feature-specific,all,validation_balanced_accuracy,0.8,0.3,zz,1,full,0.5633802816901409,0.6755952380952381,94.0,8.0,54.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed10.csv,0.66,0.45555555555555555,0.6833333333333333,0.65,0.5466666666666666,0.6666666666666667,0.7288095238095238,0.5274609481861517,91,49,19,41,144.0
german_numeric,German Numeric Full,10,feature_specific,Feature-specific,nonzero,validation_f1,0.8,0.3,zz,1,full,0.5633802816901409,0.6755952380952381,94.0,8.0,54.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed10.csv,0.66,0.45555555555555555,0.6833333333333333,0.65,0.5466666666666666,0.6666666666666667,0.7288095238095238,0.5274609481861517,91,49,19,41,144.0
