dataset_name,dataset,experiment,sample_size,seed,selected_lambda,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,FN,FP,Business Cost,dataset_label,model,risk_model,qsvc_shape,lambda_transform,lambda,C,effective_lambda,inner_validation_f1,test_f1,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_roc_auc,test_pr_auc,business_cost,lambda_selection_note,display_name,subset_strategy,feature_map,reps,entanglement,runtime_seconds,TN,TP,baseline_cost,cost_reduction_pct
german_numeric,german_numeric,baseline,full,10,0.0,0.73,0.5416666666666666,0.65,0.7642857142857142,0.5909090909090909,0.7071428571428571,0.7504761904761904,0.5368527052614304,21.0,33.0,138.0,German Numeric Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
german_numeric,german_numeric,baseline,full,20,0.0,0.645,0.4455445544554455,0.75,0.6,0.5590062111801242,0.675,0.7334523809523809,0.5396896581811167,15.0,56.0,131.0,German Numeric Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
german_numeric,german_numeric,baseline,full,30,0.0,0.64,0.38,0.3166666666666666,0.7785714285714286,0.3454545454545454,0.5476190476190477,0.6847619047619048,0.4092369755926928,41.0,31.0,236.0,German Numeric Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
german_numeric,german_numeric,baseline,full,40,0.0,0.595,0.3939393939393939,0.65,0.5714285714285714,0.490566037735849,0.6107142857142858,0.6567857142857142,0.3903697862588004,21.0,60.0,165.0,German Numeric Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
german_numeric,german_numeric,baseline,full,50,0.0,0.69,0.4615384615384615,0.2,0.9,0.2790697674418604,0.55,0.7232142857142856,0.4706652429139884,48.0,14.0,254.0,German Numeric Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
german_numeric,german_numeric,convex,full,10,0.65,0.69,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.5441176470588235,0.6690476190476191,0.7267857142857143,0.5348607629130299,23.0,39.0,154.0,German Numeric Full,Convex,xgboost,zz_reps1_full_C0.5000,identity,0.65,0.5,0.65,0.5565217391304348,0.5441176470588235,0.4868421052631579,0.6166666666666667,0.7214285714285714,0.6690476190476191,0.7267857142857143,0.5348607629130299,154.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
german_numeric,german_numeric,convex,full,20,0.45,0.63,0.4363636363636363,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,12.0,62.0,122.0,German Numeric Full,Convex,xgboost,zz_reps1_full_C0.3000,identity,0.45,0.3,0.45,0.5454545454545454,0.5647058823529412,0.4363636363636363,0.8,0.5571428571428572,0.6785714285714286,0.7440476190476191,0.5344616573629722,122.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
german_numeric,german_numeric,convex,full,30,0.5,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.4464285714285714,0.611904761904762,0.7116666666666667,0.4644026863395432,35.0,27.0,202.0,German Numeric Full,Convex,xgboost,zz_reps1_full_C1.0000,identity,0.5,1.0,0.5,0.6046511627906976,0.4464285714285714,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.611904761904762,0.7116666666666667,0.4644026863395432,202.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
german_numeric,german_numeric,convex,full,40,0.5,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,18.0,63.0,153.0,German Numeric Full,Convex,xgboost,zz_reps1_full_C0.3000,identity,0.5,0.3,0.5,0.583941605839416,0.509090909090909,0.4,0.7,0.55,0.625,0.6439285714285714,0.387870302363463,153.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
german_numeric,german_numeric,convex,full,50,0.8,0.59,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.5494505494505495,0.6595238095238095,0.7158333333333333,0.4892283400674367,10.0,72.0,122.0,German Numeric Full,Convex,xgboost,zz_reps1_full_C0.1000,identity,0.8,0.1,0.8,0.6292134831460674,0.5494505494505495,0.4098360655737705,0.8333333333333334,0.4857142857142857,0.6595238095238095,0.7158333333333333,0.4892283400674367,122.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
