dataset,dataset_label,experiment,model,n_seeds,seeds,selected_lambda_values,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Balanced Accuracy_mean,Balanced Accuracy_std,FN_mean,FN_std,FP_mean,FP_std,Business Cost_mean,Business Cost_std,baseline_business_cost_mean,relative_cost_reduction_from_means_pct
german_numeric,German Numeric Full,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.66,0.05159941860137572,0.4530011305442939,0.1355407613414084,0.44453781531999353,0.06412756644365743,0.5133333333333334,0.23990738953928778,0.618095238095238,0.07215601797289822,29.2,14.394443372357266,38.8,19.070920271449936,184.8,56.76002114164511,184.8,0.0
german_numeric,German Numeric Full,convex,Convex,5,"10, 20, 30, 40, 50","0.65, 0.45, 0.50, 0.50, 0.80",0.6389999999999999,0.0490407993409569,0.5227587118763589,0.0472792834917368,0.4427622075939592,0.039815983378552494,0.6733333333333333,0.16691647944739044,0.6488095238095238,0.028892050236932375,19.6,10.014988766843425,52.6,18.796276226955168,150.6,32.76888768328886,184.8,18.506493506493516
german_numeric,German Numeric Full,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.80, 1.00, 0.00, 0.25, 0.70",0.633,0.06524952107103928,0.5303073786469817,0.02193309399350167,0.44162768396914737,0.0490175468283835,0.6933333333333334,0.13824294235551812,0.6502380952380953,0.02145170708734976,18.4,8.294576541331088,55.0,20.77257807784099,147.0,22.39419567655869,184.8,20.45454545454546
south_german,South German Full,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.679,0.04463742824133127,0.5188064808213618,0.06848403342084518,0.4727002553370713,0.060488931946278336,0.5800000000000001,0.10096754153907304,0.6507142857142858,0.05402322713698977,25.2,6.058052492344384,39.0,7.314369419163897,165.0,30.306764921383476,165.0,0.0
south_german,South German Full,convex,Convex,5,"10, 20, 30, 40, 50","0.40, 0.95, 0.55, 0.85, 0.05",0.662,0.052273320154740496,0.5453889530744077,0.05011606995980573,0.4637981419461089,0.0535348331048229,0.6799999999999999,0.12549900398011132,0.6671428571428571,0.042812476724260036,19.2,7.52994023880668,48.4,14.690132742763081,144.4,28.588459209967926,165.0,12.484848484848483
south_german,South German Full,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.65, 0.90, 0.95, 0.95, 0.20",0.673,0.05167204273105524,0.5380298408837482,0.06621319474923511,0.4700923661056552,0.062321148555443476,0.6366666666666667,0.10501322668015575,0.6626190476190477,0.05597517266296304,21.8,6.300793600809345,43.6,9.762171889492624,152.6,30.770115371899404,165.0,7.515151515151519
taiwan,"Taiwan 10,000 Subset",baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.8089999999999999,0.0072456883730947046,0.6062038183934761,0.015961970077229454,0.5569886482466387,0.014391215098792104,0.6656108597285068,0.029817940230527792,0.7576449677333162,0.013093233135527889,147.8,13.179529581893277,234.2,15.690761613127643,973.2,59.49117581625026,973.2,0.0
taiwan,"Taiwan 10,000 Subset",convex,Convex,5,"10, 20, 30, 40, 50","0.80, 1.00, 1.00, 0.30, 0.65",0.8122999999999999,0.011339091674380256,0.6090813941745437,0.021128103058457862,0.5646102301846748,0.022601525005809583,0.6615384615384615,0.025173178363259982,0.758304532438037,0.014776741729641746,149.6,11.1265448365609,225.8,17.739785793520735,973.8,61.55241668691815,973.2,-0.061652281134392625
taiwan,"Taiwan 10,000 Subset",feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.25, 0.05, 0.70, 0.95, 0.70",0.7988999999999999,0.01241672259495234,0.5913815846035301,0.020096826551032655,0.537477376248486,0.024338903370508095,0.6583710407239819,0.030647550190371197,0.7485693457791924,0.014889747808418086,151.0,13.546217184144066,251.2,25.59687480924185,1006.2,64.28607936404272,973.2,-3.390875462392108
australian,Australian Full,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.7855072463768117,0.02435903813619073,0.8078824468817816,0.020226090824649944,0.810202972320015,0.04291270163349029,0.8077922077922078,0.03603749850782234,0.7825846284862678,0.027629562936722064,14.8,2.7748873851023212,14.8,4.207136793592526,88.8,11.819475453673906,88.8,0.0
australian,Australian Full,convex,Convex,5,"10, 20, 30, 40, 50","0.15, 0.95, 0.25, 0.25, 0.35",0.7985507246376812,0.021373740875003808,0.8252531724003374,0.02467230646882258,0.7980481757102627,0.017933249035717254,0.8571428571428573,0.06428243465332248,0.7908665105386417,0.01770746442822278,11.0,4.949747468305833,16.8,2.949576240750525,71.8,22.331591971912793,88.8,19.144144144144146
australian,Australian Full,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.10, 0.65, 0.80, 0.60, 0.70",0.7768115942028986,0.015709770571506396,0.7986899296425694,0.01681142454930041,0.8040711094564408,0.022342686522239086,0.7948051948051947,0.03830618494481199,0.7744517777304663,0.015417644508459125,15.8,2.949576240750525,15.0,2.449489742783178,94.0,13.171939872319491,88.8,-5.855855855855859
give_me_some_credit,"Give Me Some Credit 10,000 Subset",baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.7977000000000001,0.014073912036104244,0.3081812793001494,0.014787652262879206,0.20019477881341952,0.011658831243611669,0.6716417910447762,0.039839844223997424,0.7391971013101694,0.01655071952065517,44.0,5.338539126015656,360.6,30.90792778560219,580.6,26.651453994106966,580.6,0.0
give_me_some_credit,"Give Me Some Credit 10,000 Subset",convex,Convex,5,"10, 20, 30, 40, 50","0.95, 0.95, 0.45, 0.70, 0.40",0.8059000000000001,0.012773997025207103,0.3126783308186001,0.015956852809802705,0.20524197578564082,0.012168389833394818,0.6582089552238806,0.03927670855803215,0.7373574250931836,0.01743700984755692,45.8,5.263078946776307,342.4,27.591665408235148,571.4,27.790286072654958,580.6,1.5845676885980098
give_me_some_credit,"Give Me Some Credit 10,000 Subset",feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 1.00, 0.45",0.7973,0.014259207551613804,0.30576094344502447,0.012692693342833466,0.19872393855918818,0.010140093972576135,0.6656716417910447,0.04396022828365115,0.7362120266833037,0.01678628278570358,44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228,580.6,-0.6889424733034791
fico_heloc,FICO HELOC Full,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.00, 0.00, 0.00",0.7208413001912046,0.008690085546222696,0.7349003208211092,0.013104010771911796,0.7285856898768105,0.010848501984598123,0.7421245421245422,0.030527625042362862,0.7198622710622711,0.008222545514197951,281.6,33.33616654626023,302.4,25.205158202241066,1710.4,146.0729269919652,1710.4,0.0
fico_heloc,FICO HELOC Full,convex,Convex,5,"10, 20, 30, 40, 50","0.75, 0.00, 0.50, 0.50, 0.00",0.7180688336520076,0.005779789292616377,0.728476004816865,0.011516090739299942,0.7326623950790623,0.013820506982067814,0.7254578754578755,0.0327206400865456,0.7177289377289376,0.005508177282301157,299.8,35.730938974507794,290.0,31.945265689926575,1789.0,148.93958506723456,1710.4,-4.595416276894288
fico_heloc,FICO HELOC Full,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50","0.00, 0.00, 0.85, 0.35, 0.20",0.7205544933078393,0.008311078673288525,0.7341450834840229,0.012494414460537787,0.729141003611237,0.010268775252722061,0.73992673992674,0.028806152857190157,0.71966336996337,0.007865151425430202,284.0,31.45631892005166,300.6,23.607202290826418,1720.6,138.1024981671222,1710.4,-0.5963517305893251
