dataset,dataset_label,cost_ratio,experiment,model,n_seeds,seeds,FN_mean,FN_std,FP_mean,FP_std,cost_mean,cost_std,relative_cost_reduction_pct_mean,relative_cost_reduction_pct_std
taiwan,"Taiwan 10,000 Subset",2,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",147.8,13.179529581893277,234.2,15.690761613127643,529.8,22.829805080201623,0.0,0.0
taiwan,"Taiwan 10,000 Subset",2,convex,Convex,5,"10, 20, 30, 40, 50",149.6,11.1265448365609,225.8,17.739785793520735,525.0,31.008063467427306,0.9587768678498673,1.7430003337887283
taiwan,"Taiwan 10,000 Subset",2,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",151.0,13.546217184144066,251.2,25.59687480924185,553.2,30.74410512602375,-4.4296863352819145,4.01006639053715
give_me_some_credit,"Give Me Some Credit 10,000 Subset",2,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",44.0,5.338539126015656,360.6,30.90792778560219,448.6,26.197328108034224,0.0,0.0
give_me_some_credit,"Give Me Some Credit 10,000 Subset",2,convex,Convex,5,"10, 20, 30, 40, 50",45.8,5.263078946776307,342.4,27.591665408235148,434.0,24.48468909339059,3.2355828533904907,1.3972987962105743
give_me_some_credit,"Give Me Some Credit 10,000 Subset",2,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",44.8,5.890670590009256,360.6,32.49307618555067,450.2,25.30217381965431,-0.36783857299290396,0.3898589466029084
taiwan,"Taiwan 10,000 Subset",5,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",147.8,13.179529581893277,234.2,15.690761613127643,973.2,59.49117581625026,0.0,0.0
taiwan,"Taiwan 10,000 Subset",5,convex,Convex,5,"10, 20, 30, 40, 50",149.6,11.1265448365609,225.8,17.739785793520735,973.8,61.55241668691815,-0.06060339150136942,1.353138919129265
taiwan,"Taiwan 10,000 Subset",5,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",151.0,13.546217184144066,251.2,25.59687480924185,1006.2,64.28607936404272,-3.4145586735837923,3.1293641484665966
give_me_some_credit,"Give Me Some Credit 10,000 Subset",5,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",44.0,5.338539126015656,360.6,30.90792778560219,580.6,26.651453994106966,0.0,0.0
give_me_some_credit,"Give Me Some Credit 10,000 Subset",5,convex,Convex,5,"10, 20, 30, 40, 50",45.8,5.263078946776307,342.4,27.591665408235148,571.4,27.790286072654958,1.587657323212207,1.39800137898564
give_me_some_credit,"Give Me Some Credit 10,000 Subset",5,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228,-0.7136534960838626,0.9002211567433744
taiwan,"Taiwan 10,000 Subset",10,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",147.8,13.179529581893277,234.2,15.690761613127643,1712.2,124.56805368953952,0.0,0.0
taiwan,"Taiwan 10,000 Subset",10,convex,Convex,5,"10, 20, 30, 40, 50",149.6,11.1265448365609,225.8,17.739785793520735,1721.8,115.98577498986675,-0.6065246436256381,1.5838496052967486
taiwan,"Taiwan 10,000 Subset",10,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",151.0,13.546217184144066,251.2,25.59687480924185,1761.2,129.5577091492436,-2.883864502300334,2.7059681271822584
give_me_some_credit,"Give Me Some Credit 10,000 Subset",10,baseline,Baseline QSVC,5,"10, 20, 30, 40, 50",44.0,5.338539126015656,360.6,30.90792778560219,800.6,43.47758042945812,0.0,0.0
give_me_some_credit,"Give Me Some Credit 10,000 Subset",10,convex,Convex,5,"10, 20, 30, 40, 50",45.8,5.263078946776307,342.4,27.591665408235148,800.4,46.565008321700105,0.037740391839213405,1.4339830396401918
give_me_some_credit,"Give Me Some Credit 10,000 Subset",10,feature_specific,Feature-specific,5,"10, 20, 30, 40, 50",44.8,5.890670590009256,360.6,32.49307618555067,808.6,41.878395384732684,-1.0162716975884878,1.4337383591121062
