dataset,dataset_label,candidate_set,selection_criterion,model,selected_lambda_values,F1_mean,Recall_mean,FN_mean,FP_mean,Business Cost_mean,Business Cost_std,seedwise_rcr_pct_mean,seedwise_rcr_pct_std
give_me_some_credit,Give Me Some Credit Informative 10000,all,validation_balanced_accuracy,Convex,"0.95, 0.95, 0.00, 0.30, 0.40",0.3117809431066589,0.6611940298507463,45.4,346.2,573.2,27.49909089406411,1.2707583938049498,1.7750024573147611
give_me_some_credit,Give Me Some Credit Informative 10000,all,validation_business_cost,Convex,"0.95, 0.85, 0.45, 0.70, 0.40",0.3130241948901763,0.6582089552238806,45.8,341.8,570.8,28.28780656042458,1.692884790614891,1.5510419461544824
give_me_some_credit,Give Me Some Credit Informative 10000,all,validation_f1,Convex,"0.95, 0.95, 0.45, 0.70, 0.40",0.3127869580747683,0.6582089552238806,45.8,342.2,571.2,27.589853207293437,1.6205520600543124,1.4207798559887905
give_me_some_credit,Give Me Some Credit Informative 10000,nonzero,validation_balanced_accuracy,Convex,"0.95, 0.95, 0.35, 0.30, 0.40",0.310898619433185,0.6567164179104477,46.0,344.6,574.6,28.41302518212378,1.0314421544887107,2.048725905334372
give_me_some_credit,Give Me Some Credit Informative 10000,nonzero,validation_business_cost,Convex,"0.95, 0.85, 0.45, 0.70, 0.40",0.3130241948901763,0.6582089552238806,45.8,341.8,570.8,28.28780656042458,1.692884790614891,1.5510419461544824
give_me_some_credit,Give Me Some Credit Informative 10000,nonzero,validation_f1,Convex,"0.95, 0.95, 0.45, 0.70, 0.40",0.3127869580747683,0.6582089552238806,45.8,342.2,571.2,27.589853207293437,1.6205520600543124,1.4207798559887905
taiwan,Taiwan Informative 10000,all,validation_balanced_accuracy,Convex,"0.80, 0.35, 0.60, 0.30, 0.65",0.6097308895805941,0.6642533936651583,148.4,227.4,969.4,62.412338523724614,0.40070792279282674,1.177697449010847
taiwan,Taiwan Informative 10000,all,validation_business_cost,Convex,"0.80, 0.35, 0.60, 0.30, 0.65",0.6097308895805941,0.6642533936651583,148.4,227.4,969.4,62.412338523724614,0.40070792279282674,1.177697449010847
taiwan,Taiwan Informative 10000,all,validation_f1,Convex,"0.80, 1.00, 1.00, 0.30, 0.65",0.6090813941745437,0.6615384615384615,149.6,225.8,973.8,61.55241668691815,-0.06060339150136942,1.353138919129265
taiwan,Taiwan Informative 10000,nonzero,validation_balanced_accuracy,Convex,"0.80, 0.35, 0.60, 0.30, 0.65",0.6097308895805941,0.6642533936651583,148.4,227.4,969.4,62.412338523724614,0.40070792279282674,1.177697449010847
taiwan,Taiwan Informative 10000,nonzero,validation_business_cost,Convex,"0.80, 0.35, 0.60, 0.30, 0.65",0.6097308895805941,0.6642533936651583,148.4,227.4,969.4,62.412338523724614,0.40070792279282674,1.177697449010847
taiwan,Taiwan Informative 10000,nonzero,validation_f1,Convex,"0.80, 1.00, 1.00, 0.30, 0.65",0.6090813941745437,0.6615384615384615,149.6,225.8,973.8,61.55241668691815,-0.06060339150136942,1.353138919129265
