dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
taiwan,Taiwan Informative 10000,10,convex,Convex,all,validation_f1,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,10.89,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,convex,Convex,all,validation_business_cost,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,convex,Convex,all,validation_balanced_accuracy,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,convex,Convex,nonzero,validation_f1,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,convex,Convex,nonzero,validation_business_cost,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,convex,Convex,nonzero,validation_balanced_accuracy,0.8,0.75,zz,1,full,0.614596670934699,0.7639429224365426,757.0,114.0,187.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/convex/lambda_validation_c_tuned_sample10000_seed10.csv,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164414872298282,0.5741193945617515,1353,205,151,291,960.0
taiwan,Taiwan Informative 10000,10,feature_specific,Feature-specific,all,validation_f1,0.25,5.0,zz,2,linear,0.5928753180661578,0.7492405074770339,804.0,121.0,199.0,9.462,supplementary_source/target_dataset_qsvc_experiments/taiwan/feature_specific_weighting/lambda_validation_c_tuned_sample10000_seed10.csv,0.803,0.5463320463320464,0.6402714932126696,0.8491655969191271,0.5895833333333333,0.7447185450658984,0.8039646489582305,0.5917703119900481,1323,235,159,283,1030.0
taiwan,Taiwan Informative 10000,10,feature_specific,Feature-specific,all,validation_business_cost,0.1,5.0,zz,2,linear,0.5909090909090909,0.7486465163098186,804.0,120.0,204.0,9.302,supplementary_source/target_dataset_qsvc_experiments/taiwan/feature_specific_weighting/lambda_validation_c_tuned_sample10000_seed10.csv,0.799,0.5380228136882129,0.6402714932126696,0.8440308087291399,0.5847107438016529,0.7421511509709048,0.8032022723180317,0.5871856462769668,1315,243,159,283,1038.0
taiwan,Taiwan Informative 10000,10,feature_specific,Feature-specific,all,validation_balanced_accuracy,0.25,5.0,zz,2,linear,0.5928753180661578,0.7492405074770339,804.0,121.0,199.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/feature_specific_weighting/lambda_validation_c_tuned_sample10000_seed10.csv,0.803,0.5463320463320464,0.6402714932126696,0.8491655969191271,0.5895833333333333,0.7447185450658984,0.8039646489582305,0.5917703119900481,1323,235,159,283,1030.0
taiwan,Taiwan Informative 10000,10,feature_specific,Feature-specific,nonzero,validation_f1,0.25,5.0,zz,2,linear,0.5928753180661578,0.7492405074770339,804.0,121.0,199.0,0.0,supplementary_source/target_dataset_qsvc_experiments/taiwan/feature_specific_weighting/lambda_validation_c_tuned_sample10000_seed10.csv,0.803,0.5463320463320464,0.6402714932126696,0.8491655969191271,0.5895833333333333,0.7447185450658984,0.8039646489582305,0.5917703119900481,1323,235,159,283,1030.0
