dataset,dataset_label,experiment,model,candidate_set,selection_criterion,n_seeds,seeds,selected_lambda_values,selected_C_values,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Balanced Accuracy_mean,Balanced Accuracy_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,FN_mean,FN_std,FP_mean,FP_std,Business Cost_mean,Business Cost_std
taiwan,Taiwan Informative 10000,convex,Convex,all,validation_f1,5,"10, 20, 30, 40, 50","0.80, 1.00, 1.00, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8122999999999999,0.011339091674380256,0.6090813941745437,0.021128103058457862,0.5646102301846748,0.022601525005809583,0.6615384615384615,0.025173178363259982,0.8550706033376123,0.011386255323184056,0.758304532438037,0.014776741729641746,0.8141543573092316,0.010531321732232563,0.5593595845787054,0.024837453200251103,149.6,11.1265448365609,225.8,17.739785793520735,973.8,61.55241668691815
taiwan,Taiwan Informative 10000,convex,Convex,all,validation_business_cost,5,"10, 20, 30, 40, 50","0.80, 0.35, 0.60, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8121,0.010267667700115729,0.6097308895805941,0.019695765961398663,0.5638761928173973,0.020549387333536326,0.6642533936651583,0.027966583059479556,0.8540436456996149,0.01143319426302536,0.7591485196823866,0.014513475062699635,0.8150488792337315,0.010324468055659394,0.5601573497901454,0.020297073784374974,148.4,12.361229712289955,227.4,17.812916661793487,969.4,62.412338523724614
taiwan,Taiwan Informative 10000,convex,Convex,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.80, 0.35, 0.60, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8121,0.010267667700115729,0.6097308895805941,0.019695765961398663,0.5638761928173973,0.020549387333536326,0.6642533936651583,0.027966583059479556,0.8540436456996149,0.01143319426302536,0.7591485196823866,0.014513475062699635,0.8150488792337315,0.010324468055659394,0.5601573497901454,0.020297073784374974,148.4,12.361229712289955,227.4,17.812916661793487,969.4,62.412338523724614
taiwan,Taiwan Informative 10000,convex,Convex,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.80, 1.00, 1.00, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8122999999999999,0.011339091674380256,0.6090813941745437,0.021128103058457862,0.5646102301846748,0.022601525005809583,0.6615384615384615,0.025173178363259982,0.8550706033376123,0.011386255323184056,0.758304532438037,0.014776741729641746,0.8141543573092316,0.010531321732232563,0.5593595845787054,0.024837453200251103,149.6,11.1265448365609,225.8,17.739785793520735,973.8,61.55241668691815
taiwan,Taiwan Informative 10000,convex,Convex,nonzero,validation_business_cost,5,"10, 20, 30, 40, 50","0.80, 0.35, 0.60, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8121,0.010267667700115729,0.6097308895805941,0.019695765961398663,0.5638761928173973,0.020549387333536326,0.6642533936651583,0.027966583059479556,0.8540436456996149,0.01143319426302536,0.7591485196823866,0.014513475062699635,0.8150488792337315,0.010324468055659394,0.5601573497901454,0.020297073784374974,148.4,12.361229712289955,227.4,17.812916661793487,969.4,62.412338523724614
taiwan,Taiwan Informative 10000,convex,Convex,nonzero,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.80, 0.35, 0.60, 0.30, 0.65","0.75, 0.15, 0.75, 0.3, 0.1",0.8121,0.010267667700115729,0.6097308895805941,0.019695765961398663,0.5638761928173973,0.020549387333536326,0.6642533936651583,0.027966583059479556,0.8540436456996149,0.01143319426302536,0.7591485196823866,0.014513475062699635,0.8150488792337315,0.010324468055659394,0.5601573497901454,0.020297073784374974,148.4,12.361229712289955,227.4,17.812916661793487,969.4,62.412338523724614
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,all,validation_f1,5,"10, 20, 30, 40, 50","0.25, 0.05, 0.70, 0.95, 0.70","5, 2, 5, 0.1, 0.2",0.7988999999999999,0.01241672259495234,0.5913815846035301,0.020096826551032655,0.537477376248486,0.024338903370508095,0.6583710407239819,0.030647550190371197,0.8387676508344033,0.01642931630888437,0.7485693457791924,0.014889747808418086,0.8026095063284522,0.01750989878811047,0.5688021357886746,0.017966104081745295,151.0,13.546217184144066,251.2,25.59687480924185,1006.2,64.28607936404272
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,all,validation_business_cost,5,"10, 20, 30, 40, 50","0.10, 0.05, 0.55, 0.95, 0.45","5, 2, 5, 0.1, 0.2",0.7982000000000001,0.01180360114541321,0.589867922953574,0.019769134924638294,0.5360526025386625,0.02320593464539861,0.6565610859728507,0.028946900636311244,0.838382541720154,0.014931775120508724,0.7474718138465024,0.014547716469032464,0.8020719218861634,0.017682588381723006,0.5672055293152913,0.018561361375145056,151.8,12.794530081249565,251.8,23.263705637752555,1010.8,62.41554293603477
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.25, 0.05, 0.70, 0.95, 0.45","5, 2, 5, 0.1, 0.2",0.7990999999999999,0.012069589885327503,0.591264732283492,0.020263354795107172,0.5378406575590264,0.023727228652893697,0.6574660633484163,0.030963255705200074,0.8392811296534018,0.015653736771778157,0.7483735965009091,0.015117909661294775,0.8023405688927097,0.017904990765196645,0.5678687018809307,0.019735565703532996,151.4,13.685759021698432,250.4,24.38852189043034,1007.4,65.42400171190998
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.25, 0.05, 0.70, 0.95, 0.70","5, 2, 5, 0.1, 0.2",0.7988999999999999,0.01241672259495234,0.5913815846035301,0.020096826551032655,0.537477376248486,0.024338903370508095,0.6583710407239819,0.030647550190371197,0.8387676508344033,0.01642931630888437,0.7485693457791924,0.014889747808418086,0.8026095063284522,0.01750989878811047,0.5688021357886746,0.017966104081745295,151.0,13.546217184144066,251.2,25.59687480924185,1006.2,64.28607936404272
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,nonzero,validation_business_cost,5,"10, 20, 30, 40, 50","0.10, 0.05, 0.55, 0.95, 0.45","5, 2, 5, 0.1, 0.2",0.7982000000000001,0.01180360114541321,0.589867922953574,0.019769134924638294,0.5360526025386625,0.02320593464539861,0.6565610859728507,0.028946900636311244,0.838382541720154,0.014931775120508724,0.7474718138465024,0.014547716469032464,0.8020719218861634,0.017682588381723006,0.5672055293152913,0.018561361375145056,151.8,12.794530081249565,251.8,23.263705637752555,1010.8,62.41554293603477
taiwan,Taiwan Informative 10000,feature_specific,Feature-specific,nonzero,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.25, 0.05, 0.70, 0.95, 0.45","5, 2, 5, 0.1, 0.2",0.7990999999999999,0.012069589885327503,0.591264732283492,0.020263354795107172,0.5378406575590264,0.023727228652893697,0.6574660633484163,0.030963255705200074,0.8392811296534018,0.015653736771778157,0.7483735965009091,0.015117909661294775,0.8023405688927097,0.017904990765196645,0.5678687018809307,0.019735565703532996,151.4,13.685759021698432,250.4,24.38852189043034,1007.4,65.42400171190998
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,all,validation_f1,5,"10, 20, 30, 40, 50","0.95, 0.95, 0.45, 0.70, 0.40","1, 1, 1, 1, 1",0.806,0.012786711852544416,0.31278695807476836,0.01583487796032122,0.20533697115172056,0.012090693134694708,0.6582089552238806,0.03927670855803215,0.8166130760986066,0.014829198689785206,0.7374110156612436,0.01735700931370772,0.7968273583849242,0.015285081762684189,0.2307520885967616,0.0036410199672834266,45.8,5.263078946776307,342.2,27.67128475513922,571.2,27.589853207293437
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,all,validation_business_cost,5,"10, 20, 30, 40, 50","0.95, 0.85, 0.45, 0.70, 0.40","1, 1, 1, 1, 1",0.8062000000000001,0.012901550294441358,0.3130241948901763,0.016255973543350344,0.20554059021260804,0.01239155683437318,0.6582089552238806,0.03927670855803215,0.8168274383708468,0.0148775370365402,0.7375181967973637,0.017561992180554608,0.7968697509238374,0.015305689065637586,0.2310193685445167,0.003228872307949962,45.8,5.263078946776307,341.8,27.76148411018402,570.8,28.28780656042458
